Constituency,Category,Winner,Winner party,Winner votes,Winner vote share %,Runner-up,Runner-up party,Runner-up votes,Margin (votes),Margin %,Turnout %
Manikchak,,Asima Chaudhuri,CPI(M),45660,44.29,Ram Prabesh Mandal,INC,40196,5464,5.30,76.05
Manteswar,,Chaudhuri Md. Hedayatullah,CPI(M),73281,57.93,Narayan Hazra Chowdhury,AITC,36403,36878,29.15,84.99
Mathabhanga,SC,Ananta Roy,CPI(M),78033,54.92,Hem Chandra Barman,BJP,50033,28000,19.71,86.38
Mathurapur,,Kanti Ganguly,CPI(M),74657,49.45,Saytaranjan Bapuli,AITC,66926,7731,5.12,87.98
Mayureswar,,Bagdi Sadhucharan,CPI(M),66814,61.02,Subhas Chandra Mandal,BJP,29813,37001,33.79,79.05
Medinipur,,Santosh Rana,CPI,87629,57.37,Rama Prasad Tewary,AITC,31055,56574,37.04,83.43
Mekliganj,SC,Paresh Chandra Adhikary,AIFB,67491,46.79,Sunil Chandra Roy,AITC,39490,28001,19.41,87.44
Memari,,Sandhya Bhattacharya,CPI(M),103173,60.63,Sk. Mohammad Ismile,AITC,48094,55079,32.37,88.28
Moyna,,Sk. Mujibur Rahman,CPI(M),70544,48.95,Prafulla Kumar Barai,AITC,59470,11074,7.68,90.07
Mugberia,,Kiranmay Nanda,WBSP,72465,52.98,Kajal Barman,AITC,57813,14652,10.71,92.29
Murarai,,Elahi Md. Qamre,CPI(M),61876,47.70,Dr. Motahar Hossain,INC,57657,4219,3.25,87.40
Murshidabad,,Bivas Chakraborty,AIFB,82312,48.98,Joyanta Roy,IPFB,69014,13298,7.91,86.69
Nabadwip,,Pundarikakshya Saha,AITC,67745,51.10,Chhaya Sen Sarma,CPI(M),58373,9372,7.07,89.05
Nabagram,SC,Mukul Mondal,CPI(M),74594,52.38,Rathin Ghosh,INC,52018,22576,15.85,86.92
Nadanghat,,Swapan Debnath,AITC,84790,49.62,Ratan Das,CPI(M),75032,9758,5.71,91.00
Nagrakata,ST,Sukhmoith (Piting) Oraon,CPI(M),62676,47.32,Shankar Baraik,INC,40934,21742,16.42,82.75
Naihati,,Ranjit Kundu,CPI(M),61274,49.00,Dhillon Sarkar,AITC,51390,9884,7.90,80.67
Nakashipara,,Kallol Khan,AITC,63505,45.36,S. M. Sadi,CPI(M),63095,410,0.29,86.58
Nalhati,,Dipak Chatterjee,AIFB,58787,50.44,Abdul Walee Mollah,INC,48620,10167,8.72,83.63
Nandanpur,,Chowdhury Chakraborty Bula,CPI(M),63169,49.78,Nanda Kumar Mishra,AITC,59311,3858,3.04,88.09
Nandigram,,Illias Mahammad Sk.,CPI,69376,48.71,Sk. Supian,AITC,64553,4823,3.39,88.13
Nanoor,SC,Joydeb Hazra,CPI(M),72713,58.56,Gadadhar Hazra,AITC,41348,31365,25.26,81.97
Naoda,,Abu Taher Khan,INC,74192,47.97,Jayanta Kumar Biswas,RSP,72860,1332,0.86,86.56
Narayangarh,,Surjya Kanta Mishra,CPI(M),85930,56.68,Salil Kumar Das Pattanayak,AITC,49023,36907,24.34,89.39
Narghat,,Nanda Brahmamay,WBSP,75212,50.16,Amiya Kanti Bhattacharya (Kablu),AITC,66602,8610,5.74,91.89
Natabari,,Tamser Ali,CPI(M),67845,48.84,Rabindra Nath Ghosh,AITC,63009,4836,3.48,90.32
Nayagram,ST,Bhutnath Saren,CPI(M),65495,60.83,Shunaram Mahali,AITC,21120,44375,41.22,81.10
Noapara,,Kusadhwaj Ghosh,CPI(M),44550,47.73,Manju Basu,AITC,40043,4507,4.83,78.79
Onda,,Tarapada Chakrabarti,AIFB,80618,60.26,Abeda Bibi Sk.,AITC,32923,47695,35.65,81.59
Palashipara,,Biswanath Ghosh,CPI(M),70740,48.20,Saha Tapas Kumar,AITC,38375,32365,22.05,85.81
